,content,id,count,emo
11851,月牙天冲,234007847478.229,18,1
11868,有个蛋,78413270240.06665,6,3
11945,有点东西,138598547809.3629,11,2
12050,未明子,78109154845.2305,6,2
12082,杀八个嫂嫂,235342785525.91473,18,4
12112,来了,91321346480.76547,7,3
12209,查克拉,169379696507.8963,13,1
12217,查成分,299767624546.69586,23,2
12224,查成分是吧,221124681270.98193,17,2
12263,根据答案出题,91508178482.48323,7,5
12272,根本难不倒他,326300787786.47644,25,1
12280,格力,104128992404.95564,8,2
12302,格力家电下乡,156315734322.50586,12,4
12330,格力电器家电下乡,78144200174.21864,6,5
12334,格力空调,104287002374.06406,8,1
12362,格尸,130522834176.14906,10,2
12385,梅开二度,78405907469.31781,6,2
12397,梦幻联动,508385617332.255,39,5
12482,正在引导,90767609400.21378,7,5
12483,正在拉,78146615417.78236,6,3
12510,正片开始,574774370366.9724,44,3
12517,正能量,78206735970.52638,6,4
12583,每周必看,117676653920.39127,9,5
12587,每天一遍,195299089158.7147,15,4
12597,每日一遍,221372902846.24457,17,5
12632,比博燃,91492704349.56802,7,3
12702,毫无违和感,339713197302.11786,26,3
12754,永远滴神,104270397868.59225,8,5
12909,沙雕之国,104521979951.95692,8,5
12924,没了,155752084039.3525,13,2
12969,没文化,78280971565.45294,6,2
13024,没有篮球,72436217933.199,6,3
13060,没绷住,235090737471.15823,18,2
13090,油之国,117589138480.02884,9,2
13099,油光满面,548387173431.349,42,3
13154,油疙瘩,117674948055.18124,9,0
13195,法老,78049918893.85188,6,3
13214,泪目,614103399145.6746,47,4
13235,泰 裤 辣,91373192674.23172,7,4
13244,泰cool辣,78334337064.26201,6,3
13286,泰库啦,91180380076.01842,7,3
13287,泰库拉,390464015125.869,30,2
13288,泰库辣,521475864522.7194,40,3
13333,泰苦辣,208808444423.04736,16,3
13339,泰裤了,130549657374.42345,10,3
13348,泰裤啦,1799942817760.9812,138,3
13358,泰裤拉,677430938443.5077,52,2
13366,泰裤辣,31163920990303.35,2388,3
13430,泰褲辣,78303165256.56462,6,1
13439,泰酷啦,299857351379.8985,23,2
13444,泰酷拉,221515216213.30667,17,1
13447,泰酷辣,6256527715107.961,479,3
13480,活字乱刷术,196150534922.39862,15,3
13483,活字印刷术,130564126347.07959,10,2
13503,海尔,78298453806.62975,6,1
13523,深圳,117438666796.50772,9,2
13578,渣男四大才子,104455860542.03976,8,2
13596,溜大了,103527471532.70453,8,3
13627,满面油光,104455085601.5113,8,2
13637,漏电了,90952815581.40572,7,1
13691,火钳刘明,835583478986.7631,64,4
13775,燃起来了,104160145374.10002,8,3
13777,爆杀,130720326933.62834,10,3
13837,牛逼,170150561666.4631,14,4
13847,牛鬼蛇神,195682945178.0064,15,4
13929,猪刚鬣,78227362999.33296,6,2
13983,王子异,90005748031.92076,7,4
14044,玩儿,130731183286.88354,10,1
14057,玩尬的,84918446040.82364,7,3
14059,玩尬的是吧,170665085092.03006,14,3
14141,瑕疵打动人,104676768274.3979,8,5
14223,电击小子,90371556936.02974,8,4
14259,男的女的,104156803204.70276,8,3
14309,病句,102742904910.48622,8,2
14365,百家争鸣,91499420897.86708,7,5
14368,百鬼夜行,417785759268.4841,32,3
14491,省流泰裤辣,130646132336.86014,10,3
14769,真的吗我不信,130235066821.94963,10,2
14840,真的泰裤辣,143506105885.54214,11,3
14869,真神,91410107418.51521,7,3
14874,真神归位,117330126433.93404,9,2
14880,真神降临,351977037139.0706,27,5
14908,眼前一黑,496297522440.1437,38,5
14981,破防了,432585923154.23474,35,1
15042,碾压局,78283802736.32858,6,2
15043,磕了,116666584378.3885,9,1
15053,磕嗨了,142613935357.37686,11,0
15139,离谱,389393050568.1383,30,2
15211,突发恶疾,85842909039.9629,7,5
15281,笑不活了,169728821509.96786,13,4
15295,笑吐了,115897300367.91786,9,2
15299,笑嘻了,156444964508.8249,12,4
15314,笑拉了,208100061262.59177,17,3
15318,笑死,932462170848.5563,74,2
15321,笑死了,1058274032952.14,87,2
15341,笑死我,88524906519.64207,8,2
15342,笑死我了,2174236164878.136,174,2
15368,笑疯了,104589648964.7419,8,3
15437,答辩,156049926276.6826,12,3
15464,篮球,130861723580.93358,11,3
15476,类人群星闪耀时,169778584236.53076,13,5
15515,精神小伙,117117368583.77626,11,5
15520,精神污染,156453046974.65024,12,3
15674,经典,114125110835.98816,9,4
15678,经典咏流传,63231650408.603676,7,5
15691,经典永流传,78798259953.01422,7,5
15751,给你大拇哥,222365908184.6475,17,3
15756,给到,104328246829.48637,8,3
15826,绝了,90892770882.14337,7,3
15837,绝望的文盲,326166946225.6482,25,3
15855,绷不住了,1276413563792.0498,100,2
15907,美团,81410415171.44458,7,3
15926,美式霸凌,295271537127.3406,24,4
15961,群魔乱舞,835482104329.3492,64,5
16017,老子嗦了蒜,555040561331.459,60,4
16196,肠品,143181330849.57684,11,0
16218,胃汁就在这你来嘬,38454674911.59207,8,2
16253,胡彦斌,104594371383.45973,8,0
16262,胡彦斌你让我哭,130719314648.59108,10,1
16296,胡言乱语,75780003223.27402,6,0
16333,脑缠,195979745239.3307,15,4
16335,脑袋空空,78062321735.48784,6,0
16389,脸好油,78288859227.17178,6,2
16446,自我介绍,259562598274.36346,28,4
16495,舒服了,208539962261.62955,16,4
16540,芝士雪豹,287247373098.72736,22,2
16566,苍蜣登阶,117655543042.62659,9,5
16622,菜哭啦,78138023156.68764,6,3
16679,董明珠,1225480121522.7463,94,2
16788,蓄力中,143333652906.43732,11,3
16826,薄纱,222232965552.40393,17,3
16849,虽迟但到,143557516801.52567,11,2
16855,蚌埠住了,1306598626457.7607,105,3
17003,裁雨留虹,201871859803.8743,16,3
17096,要出来力,77631448667.33864,6,4
17116,要来了,130715902347.32162,10,3
17121,要来力,3519605856296.393,270,3
17124,要来力喜,235018682799.30902,18,3
17129,要来力要来力,117378012497.69392,9,2
17142,要来辣,78272572055.01888,6,3
17158,要素过多,169600296742.9879,13,0
17229,认可,78510263012.80698,6,4
17265,设了,78258487350.2528,6,2
17524,说藏话了,91495326671.30742,7,2
17581,诸神黄昏,104478119418.08987,8,4
17587,诺言诺语,77880179537.32523,6,3
17613,谁家小孩,156639232529.51465,12,1
17749,赤发鬼,89437111482.74213,7,1
17750,赤发鬼刘唐,340098447964.72296,30,5
17775,起立,104382476448.04767,8,3
17931,辣子鸡,208735713616.3936,16,3
17934,辣子鸡组合,182753392632.65225,14,4
17940,辣眼睛,427480754970.96313,33,3
18058,还得是我坤哥,104331166112.39442,8,3
18222,这下听懂了,234870512005.01416,18,3
18571,这人是谁,104117654915.77695,8,3
18595,这什么玩意,78442121464.27715,6,0
18631,这位更是重量级,141575795093.85568,13,3
18874,这是个什么东西,78264631269.26282,6,3
18984,这是在干嘛,114475666430.17072,9,1
19094,这是谁,586927772093.7697,46,3
19329,这谁,482381976140.69116,37,3
19490,退出这个舞台,91632559610.6289,7,3
19509,逆天,1887202319925.7878,147,1
19574,逼是什么,104286032631.2677,8,3
19656,那可太好了,522004501322.8261,40,2
19672,那可泰好了,130214372986.09427,10,3
19679,那可泰裤辣,169305511558.10635,13,5
19839,金坷垃,104190571879.65027,8,3
19895,锁子甲,91344907192.27188,7,1
19978,防空警报,117525744007.68428,9,4
19984,阴乐人,76581514189.90979,6,3
20012,阿诺,129985197581.95915,10,3
20025,陈冠希,104064818024.75975,8,5
20073,难绷,716100145443.393,55,3
20075,难蚌,104370374398.5773,8,2
20094,雨线难画,296031921034.44293,23,3
20122,雪豹闭嘴,496231351173.879,38,2
20233,顶流,78180219829.53543,6,3
20384,高下立判,339400734027.7297,26,2
20397,高手在民间,78501020348.88823,6,5
20437,鬼叫,78266101006.47841,6,3
20518,魑 魅 魍 魉,91463870485.34535,7,5
20519,魑魅魍魉,783198208196.5751,60,5
20607,鸡哥,104368972211.79163,8,3
20674,鸡裤同笼,130628222711.78926,10,2
20691,鸣人,78469475242.84555,6,5
20787,鼠来宝,100460672110.29033,8,2
